response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Rdh11,Rdh11,11,420,True,0.504,0.810368469264795,0.225877841999609,-0.303350053670668,False,Rdh11,0.1841769459804328,0.1205678298954849,True,negative,True
Ubr4,Ubr4,109,1966,True,0.504,0.950608787590473,0.0590476341232379,-0.073076356665377,False,Ubr4,0.8498511271799177,1.5270385963638275,True,negative,True
Mapk8,Mapk8,38,610,True,0.508,1.08334085017543,0.149499860051509,0.115487227702878,False,Mapk8,0.2662696724797942,0.19592985278281805,True,negative,False
Nbas,Nbas,37,866,True,0.508,0.900697904735874,0.138653396172003,-0.150884789537187,False,Nbas,0.3798383666524859,0.3140115813659617,True,negative,True
Hspa14,Hspa14,57,1383,True,0.512,1.06648781442101,0.113703465410456,0.0928674816889769,False,Hspa14,0.6001701403657979,0.6761905240421082,True,negative,False
Ppie,Ppie,56,1438,True,0.52,0.939722760344399,0.101285852315749,-0.0896929032789453,False,Ppie,0.6239897915780478,0.6943935352909849,True,negative,True
Atp11c,Atp11c,101,1077,True,0.528,0.953595209376218,0.0806288837898943,-0.0685511068080657,False,Atp11c,0.46916205869842315,0.44282635534547576,True,negative,True
Atp6v0c,Atp6v0c,68,2182,True,0.532,0.965470939581531,0.0604894947000795,-0.0506952597948919,False,Atp6v0c,0.9413015737983773,2.668530427032539,True,negative,True
Phf14,Phf14,119,2143,True,0.532,0.956725679890887,0.0582726738290013,-0.063822772050043,False,Phf14,0.9255635899617122,2.2918984052795337,True,negative,True
Pabpc4,Pabpc4,41,1646,True,0.536,1.07268275905682,0.122173454327668,0.101223468818126,False,Pabpc4,0.7133134836239851,0.9851504726466984,True,negative,False
Gspt1,Gspt1,14,691,True,0.54,1.16644819769114,0.271651180055325,0.222122238232039,False,Gspt1,0.30157379838366466,0.22808283650186872,True,negative,False
Parp4,Parp4,38,772,True,0.54,0.909029389437764,0.148065901431232,-0.137601156561817,False,Parp4,0.3381539770310485,0.28105468250430343,True,negative,True
